time/h,<Ewe>/V
2.258347624,3.204169273
2.261125402,3.203866243
2.26390318,3.203482866
2.266680958,3.203580379
2.269458735,3.203305483
2.272236513,3.202388525
2.275014291,3.202517986
2.277792069,3.202625751
2.280569846,3.201966286
2.283347624,3.201537609
2.286125402,3.202094555
2.28890318,3.202761412
2.291680957,3.202997208
2.294458735,3.203186035
2.297236513,3.204539537
2.300014291,3.204951048
2.302792068,3.204671383
2.305569846,3.204156637
2.308347624,3.203948498
2.311125401,3.203665495
2.313903179,3.20384264
2.316680957,3.203547239
2.319458735,3.203748941
2.322236512,3.203123808
2.32501429,3.203140736
2.327792068,3.203384161
2.330569846,3.204124689
2.333347623,3.203883886
2.336125401,3.204112291
2.338903179,3.20435977
2.341680957,3.204447031
2.344458734,3.204354525
2.347236512,3.203266621
2.35001429,3.202292681
2.352792068,3.203156471
2.355569845,3.203351736
2.358347623,3.203299522
2.361125401,3.202920198
2.363903179,3.203070164
2.366680956,3.203573227
2.369458734,3.203589916
2.372236512,3.204066038
2.37501429,3.20494628
2.377792067,3.204284906
2.380569845,3.203395844
2.383347623,3.202904463
2.386125401,3.203308821
2.388903178,3.203772068
2.391680956,3.203249454
2.394458734,3.202602863
2.397236512,3.203031778
2.400014289,3.202782631
2.402792067,3.202578545
2.405569845,3.202883244
2.408347623,3.20410943
2.4111254,3.204629421
2.413903178,3.204257727
2.416680956,3.203833818
2.419458734,3.203674555
2.422236511,3.203186274
2.425014289,3.202683926
2.427792067,3.202476263
2.430569844,3.202544689
2.433347622,3.202575445
2.4361254,3.202462912
2.438903178,3.20187974
2.441680955,3.201198578
2.444458733,3.201333523
2.447236511,3.201002836
2.450014289,3.20108676
2.452792066,3.201271296
2.455569844,3.201379776
2.458347622,3.200801611
2.4611254,3.200259209
2.463903177,3.200808764
2.466680955,3.200708628
2.469458733,3.200093746
2.472236511,3.200328588
2.475014288,3.200739384
2.477792066,3.201278925
2.480569844,3.200860023
2.483347622,3.201161623
2.486125399,3.201705456
2.488903177,3.20242095
2.491680955,3.201144218
2.494458733,3.200994253
2.49723651,3.200712919
2.500014288,3.200430632
2.502792066,3.200322628
2.505569844,3.200681925
2.508347621,3.200428486
2.511125399,3.200263262
2.513903177,3.200272322
2.516680955,3.200401783
2.519458732,3.200301886
2.52223651,3.199294806
2.525014288,3.19914937
2.527792066,3.198606253
2.530569843,3.199019909
2.533347621,3.199052095
2.536125399,3.198201656
2.538903177,3.197217941
2.541680954,3.197377205
2.544458732,3.197561026
2.54723651,3.196763754
2.550014287,3.196260691
2.552792065,3.196412563
2.555569843,3.196832418
2.558347621,3.197042704
2.561125398,3.197626352
2.563903176,3.198607922
2.566680954,3.199003935
2.569458732,3.198476315
2.572236509,3.198163748
2.575014287,3.198424578
2.577792065,3.199273348
2.580569843,3.198615313
2.58334762,3.198373556
2.586125398,3.199258804
2.588903176,3.199034691
2.591680954,3.198643208
2.594458731,3.198661089
2.597236509,3.198357582
2.600014287,3.198292255
2.602792065,3.197868347
2.605569842,3.198005199
2.60834762,3.198444128
2.611125398,3.197966099
2.613903176,3.197862864
2.616680953,3.197952271
2.619458731,3.198506117
2.622236509,3.199607372
2.625014287,3.198820353
2.627792064,3.198419571
2.630569842,3.198642731
2.63334762,3.198901415
2.636125398,3.198968172
2.638903175,3.198712587
2.641680953,3.198805809
2.644458731,3.198784828
2.647236509,3.197131157
2.650014286,3.196916103
2.652792064,3.1973629
2.655569842,3.197490454
2.65834762,3.19720006
2.661125397,3.196881056
2.663903175,3.196841478
2.666680953,3.197324276
2.66945873,3.196458578
2.672236508,3.195568323
2.675014286,3.195709229
2.677792064,3.19607687
2.680569841,3.195219994
2.683347619,3.195055723
2.686125397,3.195515394
2.688903175,3.195609808
2.691680952,3.195016384
2.69445873,3.19485116
2.697236508,3.194981575
2.700014286,3.194644213
2.702792063,3.194204807
2.705569841,3.194347858
2.708347619,3.194772005
2.711125397,3.19435358
2.713903174,3.194242001
2.716680952,3.194601774
2.71945873,3.194591761
2.722236508,3.194445372
2.725014285,3.194004536
2.727792063,3.194128513
2.730569841,3.194292068
2.733347619,3.194445848
2.736125396,3.193290949
2.738903174,3.19288516
2.741680952,3.193349123
2.74445873,3.192494392
2.747236507,3.192424774
2.750014285,3.192315817
2.752792063,3.192873001
2.755569841,3.19332695
2.758347618,3.193262339
2.761125396,3.192893028
2.763903174,3.192996025
2.766680952,3.193370342
2.769458729,3.193395376
2.772236507,3.193185806
2.775014285,3.193406582
2.777792063,3.193365097
2.78056984,3.193284273
2.783347618,3.193016291
2.786125396,3.193270683
2.788903173,3.194059134
2.791680951,3.193448782
2.794458729,3.193560123
2.797236507,3.193385363
2.800014284,3.193427086
2.802792062,3.193405628
2.80556984,3.193881273
2.808347618,3.193789721
2.811125395,3.193799734
2.813903173,3.193359137
2.816680951,3.193260431
2.819458729,3.194171429
2.822236506,3.193901777
2.825014284,3.193487644
2.827792062,3.193153143
2.83056984,3.19348979
2.833347617,3.193847895
2.836125395,3.193205833
2.838903173,3.193007231
2.841680951,3.192909479
2.844458728,3.192869425
2.847236506,3.19195509
2.850014284,3.191586018
2.852792062,3.191709518
2.855569839,3.19152689
2.858347617,3.190992832
2.861125395,3.191717386
2.863903173,3.192335367
2.86668095,3.192316294
2.869458728,3.192010641
2.872236506,3.191540956
2.875014284,3.191175461
2.877792061,3.191293955
2.880569839,3.191049099
2.883347617,3.191784859
2.886125395,3.19225812
2.888903172,3.192329884
2.89168095,3.191961765
2.894458728,3.192023516
2.897236506,3.192188025
2.900014283,3.192429781
2.902792061,3.192384481
2.905569839,3.192409754
2.908347616,3.192833185
2.911125394,3.192634821
2.913903172,3.192396879
2.91668095,3.192374706
2.919458727,3.19322443
2.922236505,3.193463802
2.925014283,3.193208933
2.927792061,3.193666458
2.930569838,3.193791151
2.933347616,3.193009377
2.936125394,3.193053484
2.938903172,3.193371296
2.941680949,3.194041729
2.944458727,3.193332195
2.947236505,3.192478895
2.950014283,3.192769766
2.95279206,3.193244219
2.955569838,3.193257332
2.958347616,3.192524433
2.961125394,3.192454815
2.963903171,3.192724466
2.966680949,3.192641735
2.969458727,3.192677259
2.972236505,3.192955494
2.975014282,3.192982674
2.97779206,3.192728043
2.980569838,3.192202091
2.983347616,3.192401886
2.986125393,3.192517281
2.988903171,3.192559719
2.991680949,3.192657709
2.994458727,3.192956686
